catchment_id,pixel_value,rgb_hex,rgb_source,area_m2,area_ha,perimeter_m,vertex_count,part_count,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,geometry_type,geometry_valid,is_authoritative,source,projection_original,extraction_timestamp
catch_1,1,#53DB7B,deterministic_hsv_golden_angle,7833268.91,783.3269,19312.39,2187,1,151.2656356,-33.7364412,151.248112,-33.7548434,151.2908051,-33.718039,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_3,3,#DBCA53,deterministic_hsv_golden_angle,2182268.53,218.2269,10840.64,1195,1,151.2976198,-33.7318347,151.2919923,-33.7432559,151.3173043,-33.720461,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_4,4,#53C4DB,deterministic_hsv_golden_angle,6227596.69,622.7597,19320.73,2115,1,151.292206,-33.7450368,151.2701946,-33.7613019,151.3174942,-33.7287716,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_5,5,#DB539C,deterministic_hsv_golden_angle,14669763.28,1466.9763,25705.08,2919,1,151.2391602,-33.7317872,151.2147744,-33.7541785,151.2748486,-33.7093959,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_6,6,#75DB53,deterministic_hsv_golden_angle,7252096.29,725.2096,16679.47,1780,2,151.2186685,-33.768829,151.2028545,-33.7864714,151.2379493,-33.7511867,MultiPolygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_9,9,#53DBA8,deterministic_hsv_golden_angle,4833996.03,483.3996,16362.5,1748,1,151.2871721,-33.7664546,151.2633087,-33.78139,151.3024875,-33.7515666,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_11,11,#BEDB53,deterministic_hsv_golden_angle,7290795.77,729.0796,19933.66,2103,1,151.2653744,-33.7695414,151.243648,-33.7865189,151.2909476,-33.7524689,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_12,12,#5397DB,deterministic_hsv_golden_angle,1116537.76,111.6538,7593.49,877,1,151.2881694,-33.7794667,151.2761783,-33.7862814,151.2961714,-33.7726519,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_13,13,#DB536F,deterministic_hsv_golden_angle,7829315.6,782.9316,21536.67,2459,1,151.2080546,-33.7542498,151.1802495,-33.7738392,151.2251271,-33.7346128,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_14,14,#53DB5E,deterministic_hsv_golden_angle,5503627.17,550.3627,14875.57,1641,1,151.2014535,-33.7332356,151.1817216,-33.7448706,151.2218028,-33.7216482,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_15,15,#8653DB,deterministic_hsv_golden_angle,5485502.8,548.5503,15184.85,1645,1,151.2036381,-33.7149997,151.1876578,-33.7289616,151.2192384,-33.7008953,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_16,16,#DBAE53,deterministic_hsv_golden_angle,15814105.53,1581.4106,25284.94,2713,1,151.245785,-33.7020825,151.2130173,-33.7219331,151.2800725,-33.6821369,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_17,17,#53DBD5,deterministic_hsv_golden_angle,14629308.29,1462.9308,27177.57,3111,1,151.1977256,-33.6890941,151.1657177,-33.7103457,151.227644,-33.66789,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_19,19,#91DB53,deterministic_hsv_golden_angle,3198920.42,319.892,13807.69,1671,1,151.2960764,-33.6852475,151.270812,-33.6975235,151.3098959,-33.6730189,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_20,20,#5369DB,deterministic_hsv_golden_angle,6022241.72,602.2242,15394.63,1933,1,151.2801674,-33.6921335,151.259462,-33.7074013,151.3009204,-33.6769131,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_21,21,#DB6453,deterministic_hsv_golden_angle,1529669.62,152.967,7429.7,969,1,151.2850826,-33.7027711,151.2761783,-33.7105831,151.2970737,-33.6950066,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_22,22,#53DB8C,deterministic_hsv_golden_angle,6607820.19,660.782,19042.3,2247,1,151.2846315,-33.7104644,151.2728541,-33.7292465,151.3154996,-33.6916823,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_23,23,#B453DB,deterministic_hsv_golden_angle,2213053.35,221.3053,9442.02,1171,1,151.1835025,-33.6737075,151.1674748,-33.6814721,151.193879,-33.6659905,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_27,27,#63DB53,deterministic_hsv_golden_angle,4796337.77,479.6338,18847.09,2138,1,151.3139325,-33.6541418,151.3019651,-33.6711668,151.3344005,-33.6371168,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_28,28,#6A53DB,deterministic_hsv_golden_angle,5066094.92,506.6095,17823.91,1930,2,151.3277282,-33.6288537,151.3046245,-33.6434804,151.3438984,-33.6142269,MultiPolygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_29,29,#DB9253,deterministic_hsv_golden_angle,5084265.84,508.4266,15271.29,1631,1,151.292206,-33.6604579,151.2746112,-33.6765806,151.3055269,-33.6443352,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_31,31,#DB53D5,deterministic_hsv_golden_angle,15590557.75,1559.0558,29301.88,3308,2,151.2553067,-33.6643521,151.2302559,-33.6883105,151.2847264,-33.6404411,MultiPolygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_33,33,#5385DB,deterministic_hsv_golden_angle,4306363.48,430.6363,17225.1,2117,1,151.310537,-33.6730902,151.2938444,-33.6898302,151.3211034,-33.6563026,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_35,35,#53DB70,deterministic_hsv_golden_angle,18971867.83,1897.1868,43019.28,4816,1,151.2840378,-33.6107839,151.250249,-33.6443352,151.3109406,-33.5771851,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_36,36,#9753DB,deterministic_hsv_golden_angle,3237048.79,323.7049,14407.17,1647,1,151.3279419,-33.6088368,151.3158796,-33.6255769,151.3423312,-33.5920493,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_42,42,#DB7653,deterministic_hsv_golden_angle,526625.82,52.6626,3980.66,477,1,151.2910188,-33.6402037,151.2862936,-33.6440978,151.295744,-33.636167,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_45,45,#C9DB53,deterministic_hsv_golden_angle,27838258.38,2783.8258,34493.46,4013,1,151.1973457,-33.6514349,151.1606363,-33.6828493,151.2352423,-33.6200206,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_47,47,#DB537A,deterministic_hsv_golden_angle,31355296.79,3135.5297,58370.66,6644,1,151.2330578,-33.6175749,151.1981055,-33.6633785,151.3095635,-33.5717712,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_58,58,#DBD153,deterministic_hsv_golden_angle,3192691.43,319.2691,12267.33,1365,1,151.2623351,-33.8058946,151.2500591,-33.817862,151.2752285,-33.7938323,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_59,59,#53BDDB,deterministic_hsv_golden_angle,2057755.53,205.7756,13285.52,1469,1,151.2387091,-33.7909354,151.232203,-33.80428,151.2531459,-33.7774009,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_61,61,#6EDB53,deterministic_hsv_golden_angle,3339710.07,333.971,13481.08,1507,1,151.2978335,-33.8112372,151.2835867,-33.8238457,151.3075214,-33.7986762,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_62,62,#5F53DB,deterministic_hsv_golden_angle,1988422.43,198.8422,15603.05,1772,1,151.2776267,-33.7972278,151.2662055,-33.8093614,151.2927522,-33.7851417,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_65,65,#D653DB,deterministic_hsv_golden_angle,965858.7,96.5859,6341.36,653,1,151.278909,-33.7894632,151.2735664,-33.7961118,151.2864836,-33.7829572,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_67,67,#5390DB,deterministic_hsv_golden_angle,4466041.52,446.6042,14544.53,1453,1,151.2573487,-33.7888459,151.2378543,-33.7986762,151.2765582,-33.7789681,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
catch_111,111,#53DB88,deterministic_hsv_golden_angle,5391817.24,539.1817,13281.06,1271,1,151.2443603,-33.7677843,151.2294486,-33.7854266,151.2560428,-33.7501894,Polygon,True,False,lizard_raster_export,EPSG:4283,2026-05-04T00:24:06.061175+00:00
